instanceid,account,currency,accountId,sourceType,amount,channelId,paymentMethod,currencyId,paymentType,initial_status,risk_status,deduction_status,amountUSD,currency
MT4_1,1012,USC,40857,1,5000,2,2,45,bank,1,1,1,50,USD
MT4_1,1012,USC,40857,1,4400,3,3,242,crypto,1,1,1,44,USDT-TRC20
MT5_1,3077,USC,41200,1,600,4,4,45,eWallet,1,1,1,6,USD
MT4_1,12110,USD,40835,1,80,6,6,45,card,1,1,1,80,USD
MT5_1,4050,USD,41077,1,79,8,8,45,wireTransfer,1,1,1,79,USD
MT4_1,1012,USC,40857,1,5500,2,2,45,bank,2,1,1,55,USD
MT4_1,1012,USC,40857,1,4000,3,3,242,crypto,1,2,1,40,USDT-TRC20
MT5_1,3077,USC,41200,1,500,4,4,45,eWallet,2,1,1,5,USD
MT4_1,12110,USD,40835,1,85,6,6,45,card,1,1,2,85,USD
MT5_1,4050,USD,41077,1,65,8,8,45,wireTransfer,1,1,2,65,USD
